time,ethusdt,btcusdt
1681117609.540681,1857.77,28277.87
1681117610.764795,1857.82,28277.87
1681117611.7904255,1857.83,28277.87
1681117612.9135334,1857.83,28277.87
1681117613.838351,1857.82,28277.87
1681117614.8607783,1857.82,28278.17
1681117615.8842342,1857.82,28279.98
1681117616.9099274,1857.82,28279.98
1681117617.938104,1857.82,28279.98
1681117618.958736,1857.82,28279.98
1681117619.981765,1857.82,28279.98
1681117621.005004,1857.82,28279.99
1681117622.1302392,1857.82,28279.99
1681117623.6092856,1857.82,28279.99
1681117625.103509,1857.82,28279.98
1681117626.6366694,1857.82,28279.99
1681117627.665026,1857.83,28279.99
1681117628.684701,1857.82,28279.99
1681117629.823837,1857.82,28279.99
1681117630.8389835,1857.83,28279.99
1681117631.7581208,1857.82,28280.13
1681117632.7830882,1857.83,28280.4
1681117633.8044236,1857.83,28280.55
1681117634.8304567,1857.83,28282.71
1681117635.8571653,1857.82,28282.71
1681117636.8763936,1857.82,28282.7
1681117637.9055102,1857.82,28282.7
1681117638.9242716,1857.82,28282.71
1681117639.9505668,1857.83,28282.71
1681117640.981054,1857.82,28282.71
1681117642.011445,1857.82,28282.7
1681117643.0256588,1857.82,28282.71
1681117644.0482454,1857.82,28282.71
1681117645.0674262,1857.82,28282.72
1681117646.0921896,1857.83,28283.26
1681117647.1177168,1857.83,28283.26
1681117648.1460936,1857.83,28283.26
1681117649.169292,1857.82,28283.27
1681117650.3922033,1857.82,28283.27
1681117651.4335124,1857.83,28283.27
1681117652.4423032,1857.83,28283.27
1681117653.4494312,1857.83,28283.27
1681117655.002329,1857.83,28283.27
1681117656.0277627,1857.83,28283.27
1681117656.946535,1857.83,28283.26
1681117657.9788847,1857.83,28283.27
1681117658.9952323,1857.83,28283.27
1681117660.0274003,1857.83,28283.27
1681117661.0443027,1857.83,28283.27
1681117662.2739785,1857.83,28283.26
1681117663.9103186,1857.83,28283.27
1681117664.936034,1857.83,28283.27
1681117665.9646316,1857.83,28283.26
1681117666.981759,1857.83,28283.26
1681117668.0058625,1857.82,28283.26
1681117668.9435475,1857.83,28283.26
1681117669.951706,1857.83,28283.55
1681117670.9945626,1857.82,28283.54
1681117672.0084808,1857.82,28283.54
1681117673.0261533,1857.84,28284.13
1681117674.0598555,1857.83,28284.14
1681117675.0712965,1857.83,28284.14
1681117676.028478,1857.83,28284.14
1681117677.016921,1857.83,28284.13
1681117678.0407584,1857.83,28284.14
1681117679.5813758,1857.83,28284.14
1681117681.1208243,1857.83,28284.13
1681117682.146056,1857.83,28284.14
1681117683.2643642,1857.83,28284.14
1681117684.3948243,1857.83,28284.14
1681117685.5206769,1857.83,28284.13
1681117687.0559328,1857.83,28284.13
1681117689.102169,1857.83,28284.13
1681117690.1411886,1857.75,28284.14
1681117691.1550193,1857.75,28284.13
1681117692.7875886,1857.75,28284.14
1681117693.8195388,1857.75,28284.13
1681117695.3492076,1857.75,28284.13
1681117696.3713074,1857.76,28284.13
1681117697.3498092,1857.76,28284.13
1681117698.4200423,1857.76,28284.13
1681117699.4441812,1857.76,28284.14
1681117700.4829388,1857.76,28284.14
1681117701.4920785,1857.75,28284.13
1681117702.5140116,1857.75,28284.13
1681117703.5408363,1857.75,28284.13
1681117704.4999657,1857.76,28284.14
1681117705.4855015,1857.76,28284.14
1681117707.531296,1857.75,28284.14
1681117708.5612185,1857.76,28284.14
1681117709.5810819,1857.76,28284.14
1681117710.5481598,1857.75,28284.14
1681117711.6279495,1857.75,28284.13
1681117712.7558134,1857.74,28284.13
1681117713.7789617,1857.75,28284.13
1681117714.8030825,1857.75,28284.13
1681117716.28084,1857.75,28284.13
1681117717.2595227,1857.75,28284.14
1681117718.2846072,1857.75,28284.14
1681117719.3086617,1857.74,28284.13
1681117720.3388255,1857.75,28284.13
1681117721.3583953,1857.74,28284.14
1681117722.4851508,1857.74,28284.14
1681117723.6099315,1857.74,28284.14
1681117724.637033,1857.74,28284.14
1681117725.6623313,1857.75,28284.14
1681117726.682794,1857.75,28284.14
1681117727.6029906,1857.74,28284.13
1681117728.5264642,1857.74,28284.14
1681117729.5491524,1857.74,28284.41
1681117730.6759481,1857.75,28284.42
1681117731.7174902,1857.75,28284.42
